id;street_address;postal_code;city;state_province
1;reschedule equal;vague blissfully consequently;East Aniya;bottle
2;lest insubstantial yahoo;nor airforce aha;Wunschboro;while that when
3;inwardly smuggling;lest nor format;New Giovanniboro;justly yuck
4;provided;below;Brookline;fold alienated considering
5;meanwhile;meanwhile;Edisonborough;icon corporal obesity
6;ant;whoa gah knottily;Port Murielstad;so before instead
7;quaintly regal;by considering;Vernabury;transact sans editorial
8;now;ack that;Port Felicity;stockings sadly murky
9;puny oh;mechanically certificate of;Lompoc;underneath earrings fright
10;loftily knife-edge;broadly pfft hotel;Estelland;ha bus
